Region,Year,Overnight Trips,Visitor Nights,Daytrips,Overnight Trips pP,Visitor Nights pP,Daytrips pP,State Population
New South Wales,2007,24653047,85028469,45476875,3607.328688,12441.69273,6654.35132,6834156
New South Wales,2008,24440493,83499408,46051389,3519.92947,12025.61777,6632.339261,6943461
New South Wales,2009,22861937,78670223,45596747,3241.101654,11152.95655,6464.180709,7053755
New South Wales,2010,23270050,78032985,50129210,3257.152703,10922.4238,7016.679889,7144292
New South Wales,2011,24666111,82932681,50146692,3417.055054,11488.86165,6946.940575,7218529
New South Wales,2012,24270342,82848844,53855458,3322.772624,11342.56249,7373.173459,7304244
New South Wales,2013,25020857,84497931,51530519,3379.3556,11412.4211,6959.791503,7404032
New South Wales,2014,26236578,85772848,53318395,3494.318661,11423.65683,7101.210479,7508353
New South Wales,2015,27157682,88100137,52728199,3565.793454,11567.51492,6923.192739,7616168
New South Wales,2016,28523888,91486260,56771276,3688.660519,11830.84702,7341.564529,7732858
New South Wales,2017,30154162,96867319,56806937,3832.537784,12311.65569,7220.055806,7867936
New South Wales,2018,33667221,104848293,61374308,4218.861182,13138.60723,7690.854127,7980168
New South Wales,2019,37236631,116060372,69184067,4604.289103,14350.80166,8554.57213,8087379
New South Wales,2020,30312201,98839049,62015670,3711.517959,12102.15337,7593.386998,8167063
New South Wales,2021,30154676,103511151,54584181,3688.02823,12659.79601,6675.846904,8176368
Victoria,2007,17017135,53018446,33966352,3302.039848,10287.80822,6590.900747,5153522
Victoria,2008,17613713,53356899,35411876,3350.923973,10150.89277,6736.93867,5256375
Victoria,2009,16293187,50489575,37526477,3033.020696,9398.770536,6985.654887,5371934
Victoria,2010,16483104,51864909,40409462,3018.274886,9497.152497,7399.508268,5461101
Victoria,2011,17068398,52114288,40520112,3082.152769,9410.619383,7316.982847,5537817
Victoria,2012,17929191,54128746,44122934,3172.695503,9578.459451,7807.861172,5651091
Victoria,2013,17935205,56121137,43829705,3106.917268,9721.869901,7592.623966,5772669
Victoria,2014,19249140,57601971,42905090,3265.379309,9771.464297,7278.31961,5894917
Victoria,2015,20184335,59393431,44001790,3351.586813,9862.214442,7306.44924,6022322
Victoria,2016,21232558,62558868,47317637,3439.489131,10133.99076,7665.044324,6173172
Victoria,2017,23375599,66763277,49559273,3697.731083,10561.12592,7839.664952,6321606
Victoria,2018,25517055,73381713,55315235,3948.774369,11355.84915,8560.054528,6462019
Victoria,2019,29047357,81165379,61452908,4403.196208,12303.60094,9315.450334,6596880
Victoria,2020,22700880,67813303,55555182,3391.298892,10130.67244,8299.42395,6693860
Victoria,2021,16611475,53898464,37079624,2498.505692,8106.782758,5577.087624,6648564
Queensland,2007,17819328,77471643,29761011,4334.529306,18844.88051,7239.328799,4111018
Queensland,2008,17606918,77410324,29339789,4172.744907,18345.83061,6953.372256,4219505
Queensland,2009,16464673,69320692,32216600,3803.54447,16013.94299,7442.43574,4328771
Queensland,2010,16106972,72266457,34365354,3656.732832,16406.50558,7801.895865,4404744
Queensland,2011,16744881,69623274,34700896,3740.386725,15552.09439,7751.310429,4476778
Queensland,2012,17972963,75172697,37293084,3933.944917,16453.89518,8162.757484,4568687
Queensland,2013,17957820,75308642,38634082,3859.552822,16185.57719,8303.362001,4652824
Queensland,2014,18521625,74456406,37406344,3924.3616,15775.82208,7925.655551,4719653
Queensland,2015,19956896,77768975,38501271,4177.099738,16277.51956,8058.550237,4777692
Queensland,2016,20204684,78752283,41178634,4170.08259,16253.83125,8498.935431,4845152
Queensland,2017,21278629,83159594,39485542,4318.228706,16876.18812,8013.091489,4927629
Queensland,2018,22559554,90238166,43074538,4503.422749,18013.68101,8598.700769,5009424
Queensland,2019,25311918,99982274,48508182,4969.080175,19627.90554,9522.82816,5093884
Queensland,2020,20421284,82100883,44036351,3945.933673,15864.06804,8508.990927,5175273
Queensland,2021,20758194,82880179,41673637,3987.053242,15918.90346,8004.309504,5206400
South Australia,2007,5351869,18894157,10245514,3407.490295,12029.75196,6523.233197,1570619
South Australia,2008,5282433,19060039,10301978,3325.076715,11997.5193,6484.676127,1588665
South Australia,2009,4879029,18450847,10175645,3032.520937,11467.97443,6324.589689,1608902
South Australia,2010,4890563,18523396,10380836,3005.282913,11382.74785,6379.091538,1627322
South Australia,2011,5017619,18529897,10834837,3060.244057,11301.37764,6608.163263,1639614
South Australia,2012,5101210,18826208,11704662,3079.092788,11363.50813,7064.939565,1656725
South Australia,2013,5220072,18962103,11403350,3123.00896,11344.44459,6822.274524,1671488
South Australia,2014,5463460,19659560,11983758,3238.671089,11653.94248,7103.822591,1686945
South Australia,2015,5809336,20494756,11810147,3415.914217,12051.00349,6944.416547,1700668
South Australia,2016,6127892,21685678,13533053,3577.614527,12660.63381,7900.930208,1712843
South Australia,2017,6143671,21546105,13156115,3563.77344,12498.29894,7631.498043,1723923
South Australia,2018,6598745,24159290,13516606,3799.96683,13912.41829,7783.700455,1736527
South Australia,2019,7404102,26732034,15292462,4224.443581,15252.08181,8725.182734,1752681
South Australia,2020,6545483,22534695,15519918,3697.430179,12729.45959,8766.933348,1770279
